..>python nn.py -evaluate 1
Neural Networks

Reading data...
60000 training data read
10000 testing data read

(Func, Hidden, Batch, Learn, Drop)              V. Loss         V. Error
('tanh', '1000:600', 50, 0.05, 0.5)             0.217           2.708
('tanh', '1000:600', 50, 0.1, 0.0)              0.371           1.833
('tanh', '1000:600', 50, 0.1, 0.5)              0.620           4.533
('tanh', '1000:600', 100, 0.01, 0.0)            0.075           1.708
('tanh', '1000:600', 100, 0.01, 0.5)            0.141           1.892
('tanh', '1000:600', 100, 0.05, 0.0)            0.081           1.633
('tanh', '1000:600', 100, 0.05, 0.5)            0.163           1.983
('tanh', '1000:600', 100, 0.1, 0.0)             0.074           1.625
('tanh', '1000:600', 100, 0.1, 0.5)             0.231           3.050
('tanh', '1000:600', 200, 0.01, 0.0)            0.072           1.875
('tanh', '1000:600', 200, 0.01, 0.5)            0.150           2.217
('tanh', '1000:600', 200, 0.05, 0.0)            0.079           1.667
('tanh', '1000:600', 200, 0.05, 0.5)            0.148           1.850
('tanh', '1000:600', 200, 0.1, 0.0)             0.076           1.633
('tanh', '1000:600', 200, 0.1, 0.5)             0.177           2.092
('relu', '250:150', 50, 0.01, 0.0)              0.076           1.425
('relu', '250:150', 50, 0.01, 0.5)              0.179           1.325
('relu', '250:150', 50, 0.05, 0.0)              0.074           1.325
('relu', '250:150', 50, 0.05, 0.5)              0.235           1.258
('relu', '250:150', 50, 0.1, 0.0)               0.097           1.325
('relu', '250:150', 50, 0.1, 0.5)               0.162           1.392
('relu', '250:150', 100, 0.01, 0.0)             0.066           1.467
('relu', '250:150', 100, 0.01, 0.5)             0.162           1.425
('relu', '250:150', 100, 0.05, 0.0)             0.060           1.317
('relu', '250:150', 100, 0.05, 0.5)             0.207           1.208
('relu', '250:150', 100, 0.1, 0.0)              0.075           1.333
('relu', '250:150', 100, 0.1, 0.5)              0.196           1.150
('relu', '250:150', 200, 0.01, 0.0)             0.061           1.500
('relu', '250:150', 200, 0.01, 0.5)             0.167           1.642
('relu', '250:150', 200, 0.05, 0.0)             0.071           1.425
('relu', '250:150', 200, 0.05, 0.5)             0.184           1.317
('relu', '250:150', 200, 0.1, 0.0)              0.080           1.333
('relu', '250:150', 200, 0.1, 0.5)              0.197           1.242
('relu', '500:300', 50, 0.01, 0.0)              0.061           1.517
('relu', '500:300', 50, 0.01, 0.5)              0.181           1.283
('relu', '500:300', 50, 0.05, 0.0)              0.082           1.400
('relu', '500:300', 50, 0.05, 0.5)              0.252           1.108
('relu', '500:300', 50, 0.1, 0.0)               0.083           1.317
('relu', '500:300', 50, 0.1, 0.5)               0.241           1.092
('relu', '500:300', 100, 0.01, 0.0)             0.067           1.475
('relu', '500:300', 100, 0.01, 0.5)             0.163           1.325
('relu', '500:300', 100, 0.05, 0.0)             0.076           1.442
('relu', '500:300', 100, 0.05, 0.5)             0.225           1.192
('relu', '500:300', 100, 0.1, 0.0)              0.082           1.300
('relu', '500:300', 100, 0.1, 0.5)              0.202           1.117
('relu', '500:300', 200, 0.01, 0.0)             0.061           1.517
('relu', '500:300', 200, 0.01, 0.5)             0.153           1.558
('relu', '500:300', 200, 0.05, 0.0)             0.065           1.475
('relu', '500:300', 200, 0.05, 0.5)             0.189           1.200
('relu', '500:300', 200, 0.1, 0.0)              0.065           1.408
('relu', '500:300', 200, 0.1, 0.5)              0.217           1.158
('relu', '1000:600', 50, 0.01, 0.0)             0.064           1.467
('relu', '1000:600', 50, 0.01, 0.5)             0.191           1.258
('relu', '1000:600', 50, 0.05, 0.0)             0.064           1.317
('relu', '1000:600', 50, 0.05, 0.5)             0.251           1.133
('relu', '1000:600', 50, 0.1, 0.0)              0.077           1.250
('relu', '1000:600', 50, 0.1, 0.5)              0.239           1.100
('relu', '1000:600', 100, 0.01, 0.0)            0.065           1.483
('relu', '1000:600', 100, 0.01, 0.5)            0.166           1.350
('relu', '1000:600', 100, 0.05, 0.0)            0.060           1.383
('relu', '1000:600', 100, 0.05, 0.5)            0.229           1.150
('relu', '1000:600', 100, 0.1, 0.0)             0.067           1.292
